Time (s)	ACALD	ACALDt	ACKr	ACONTa	ACONTb	ACt2r	ADK1	AKGDH	AKGt2r	ALCD2x	ATPM	ATPS4r	Biomass_Ecoli_core	CO2t	CS	CYTBD	D_LACt2	ENO	ETOHt2r	EX_ac_e	EX_acald_e	EX_akg_e	EX_co2_e	EX_etoh_e	EX_for_e	EX_fru_e	EX_fum_e	EX_glc__D_e	EX_gln__L_e	EX_glu__L_e	EX_h_e	EX_h2o_e	EX_lac__D_e	EX_mal__L_e	EX_nh4_e	EX_o2_e	EX_pi_e	EX_pyr_e	EX_succ_e	FBA	FBP	FORt2	FORti	FRD7	FRUpts2	FUM	FUMt2_2	G6PDH2r	GAPD	GLCpts	GLNS	GLNabc	GLUDy	GLUN	GLUSy	GLUt2r	GND	H2Ot	ICDHyr	ICL	LDH_D	MALS	MALt2_2	MDH	ME1	ME2	NADH16	NADTRHD	NH4t	O2t	PDH	PFK	PFL	PGI	PGK	PGL	PGM	PIt2r	PPC	PPCK	PPS	PTAr	PYK	PYRt2	RPE	RPI	SUCCt2_2	SUCCt3	SUCDi	SUCOAS	TALA	THD2	TKT1	TKT2	TPI	Error
0.0	0.0	0.0	0.0	1.197783073240389	1.197783073240389	0.0	0.0	1.070396552504787	0.0	0.0	8.39	7.810288418942752	0.0322947194157945	-3.58699684841208	1.197783073240389	7.09932184659096	0.0	1.519609640634607	0.0	0.0	0.0	0.0	3.58699684841208	0.0	0.0	0.0	0.0	-0.8268857967518202	0.0	0.0	0.6478320714808435	3.8222445025244927	0.0	0.0	-0.1760966460304445	-3.54966092329548	-0.1188025843148832	0.0	0.0	0.7947622393489302	0.0	0.0	0.0	0.0	0.0	1.162940300462688	0.0	0.0	1.5679225408806354	0.8268857967518202	0.0082577597546186	0.0	-0.1678388862758258	0.0	0.0	0.0	0.0	-3.8222445025244927	1.1052393252824877	0.0925437479579009	0.0	0.0925437479579009	0.0	1.255484048420589	0.0	0.0	5.936381546128272	0.5166680639296318	0.1760966460304445	3.54966092329548	1.411360970624805	0.7947622393489302	0.0	0.8202653792715823	-1.5679225408806354	0.0	-1.519609640634607	0.1188025843148832	0.0	0.0	0.0	0.0	0.6759596550340476	0.0	-0.0232134443160728	-0.0232134443160728	0.0	0.0	1.162940300462688	-1.070396552504787	-0.0057775253034851	0.0	-0.0057775253034859	-0.0174359190125869	0.7947622393489302	-8.881784197001252e-16
1.0	0.0	0.0	0.0	1.0996716307589325	1.0996716307589325	0.0	0.0	1.024594523580982	0.0	0.0	8.39	7.260857157181315	0.0190333647301179	-3.2952710294343825	1.0996716307589325	6.546533112939786	0.0	1.289344820303977	0.0	0.0	0.0	0.0	3.2952710294343825	0.0	0.0	0.0	0.0	-0.6842075637011524	0.0	0.0	0.3818092964861602	3.4339176714744504	0.0	0.0	-0.1037851312003872	-3.273266556469893	-0.0700180388326824	0.0	0.0	0.6652750758041047	0.0	0.0	0.0	0.0	0.0	1.079136533551608	0.0	0.0	1.3178187339402334	0.6842075637011524	0.0048668313614911	0.0	-0.098918299838896	0.0	0.0	0.0	0.0	-3.4339176714744504	1.0451296207883063	0.0545420099706259	0.0	0.0545420099706259	0.0	1.133678543522234	0.0	0.0	5.467396579388177	0.6982465485819064	0.1037851312003872	3.273266556469893	1.2255468850650946	0.6652750758041047	0.0	0.6803057239314783	-1.3178187339402334	0.0	-1.289344820303977	0.0700180388326824	0.0	0.0	0.0	0.0	0.5952570369714203	0.0	-0.0136811825680086	-0.0136811825680086	0.0	0.0	1.079136533551608	-1.024594523580982	-0.0034050689502177	0.0	-0.0034050689502182	-0.0102761136177904	0.6652750758041047	0.0
2.0	0.0	0.0	0.0	1.093712179018836	1.093712179018836	0.0	0.0	1.0218124323787094	0.0	0.0	8.39	7.227483791076888	0.0182278480517496	-3.2775511193447286	1.093712179018836	6.512955808424202	0.0	1.2753581532089366	0.0	0.0	0.0	0.0	3.2775511193447286	0.0	0.0	0.0	0.0	-0.6755410511851597	0.0	0.0	0.3656506319180739	3.410330055692895	0.0	0.0	-0.0993928098565804	-3.256477904212101	-0.067054784627972	0.0	0.0	0.6574098107280846	0.0	0.0	0.0	0.0	0.0	1.0740461537558033	0.0	0.0	1.302627013894354	0.6755410511851597	0.0046608607468323	0.0	-0.094731949109748	0.0	0.0	0.0	0.0	-3.410330055692895	1.0414784576417422	0.0522337213770938	0.0	0.0522337213770938	0.0	1.126279875132897	0.0	0.0	5.438909654668398	0.709275926898605	0.0993928098565804	3.256477904212101	1.214260229324277	0.6574098107280846	0.0	0.671804342334551	-1.302627013894354	0.0	-1.2753581532089366	0.067054784627972	0.0	0.0	0.0	0.0	0.5903550261001137	0.0	-0.0131021771795975	-0.0131021771795975	0.0	0.0	1.0740461537558033	-1.0218124323787094	-0.0032609620164578	0.0	-0.003260962016458	-0.0098412151631395	0.6574098107280846	-8.881784197001252e-16
3.0	0.0	0.0	0.0	1.0912412061234351	1.0912412061234351	0.0	0.0	1.0206588913730674	0.0	0.0	8.39	7.2136461619343395	0.0178938559387419	-3.270203896907155	1.0912412061234351	6.49903362011275	0.0	1.2695588487097809	0.0	0.0	0.0	0.0	3.270203896907155	0.0	0.0	0.0	0.0	-0.6719476472180478	0.0	0.0	0.3589507501311615	3.400549901107328	0.0	0.0	-0.0975716176627723	-3.249516810056375	-0.0658261278418496	0.0	0.0	0.6541486287157818	0.0	0.0	0.0	0.0	0.0	1.0719355249511264	0.0	0.0	1.296328057194139	0.6719476472180478	0.0045754589635363	0.0	-0.092996158699236	0.0	0.0	0.0	0.0	-3.400549901107328	1.039964572545376	0.051276633578059	0.0	0.051276633578059	0.0	1.1232121585291854	0.0	0.0	5.427098095161624	0.7138490480618034	0.0975716176627723	3.249516810056375	1.2095804329887117	0.6541486287157818	0.0	0.6682794067506057	-1.296328057194139	0.0	-1.2695588487097809	0.0658261278418496	0.0	0.0	0.0	0.0	0.5883225008739321	0.0	-0.0128621036487675	-0.0128621036487675	0.0	0.0	1.0719355249511264	-1.0206588913730674	-0.0032012108274406	0.0	-0.0032012108274411	-0.0096608928213264	0.6541486287157818	-6.661338147750939e-16
4.0	0.0	0.0	0.0	1.178250789992278	1.178250789992278	0.0	0.0	1.061278164479384	0.0	0.0	8.39	7.700906202570594	0.0296546141495484	-3.5289193073736183	1.178250789992278	6.989271215910652	0.0	1.4737679163767736	0.0	0.0	0.0	0.0	3.5289193073736183	0.0	0.0	0.0	0.0	-0.7984810399691207	0.0	0.0	0.5948715598399488	3.744935378684591	0.0	0.0	-0.1617006800346577	-3.494635607955326	-0.1090904290719437	0.0	0.0	0.7689835952745657	0.0	0.0	0.0	0.0	0.0	1.1462564267863302	0.0	0.0	1.5181312191444982	0.7984810399691207	0.0075826848380395	0.0	-0.1541179951966182	0.0	0.0	0.0	0.0	-3.744935378684591	1.093272527685332	0.0849782623069461	0.0	0.0849782623069461	0.0	1.2312346890932764	0.0	0.0	5.843014789124322	0.5528171848098113	0.1617006800346577	3.494635607955326	1.3743686152089023	0.7689835952745657	0.0	0.7924018440684633	-1.5181312191444982	0.0	-1.4737679163767736	0.1090904290719437	0.0	0.0	0.0	0.0	0.6598931662026225	0.0	-0.0213157366506952	-0.0213157366506952	0.0	0.0	1.1462564267863302	-1.061278164479384	-0.0053052104713537	0.0	-0.0053052104713544	-0.0160105261793407	0.7689835952745657	-4.440892098500626e-16
5.0	0.0	0.0	0.0	1.3024056378006168	1.3024056378006168	0.0	0.0	1.1192382126299647	0.0	0.0	8.39	8.396182441099324	0.0464361579847007	-3.8980829211262593	1.3024056378006168	7.688796157760294	0.0	1.765155882965555	0.0	0.0	0.0	0.0	3.8980829211262593	0.0	0.0	0.0	0.0	-0.9790328070406978	0.0	0.0	0.9315093291730888	4.236342470350014	0.0	0.0	-0.253207082258976	-3.844398078880147	-0.1708246943783181	0.0	0.0	0.932842760693317	0.0	0.0	0.0	0.0	0.0	1.2523056669509232	0.0	0.0	1.8346243753106672	0.9790328070406978	0.0118737255966879	0.0	-0.241333356662288	0.0	0.0	0.0	0.0	-4.236342470350014	1.1693381834796583	0.1330674543209584	0.0	0.1330674543209584	0.0	1.3853731212718816	0.0	0.0	6.436490490809371	0.3230392042084878	0.253207082258976	3.844398078880147	1.6095065250166367	0.932842760693317	0.0	0.9695133946538342	-1.8346243753106672	0.0	-1.765155882965555	0.1708246943783181	0.0	0.0	0.0	0.0	0.7620180663149989	0.0	-0.0333783103594026	-0.0333783103594026	0.0	0.0	1.2523056669509232	-1.1192382126299647	-0.0083074286634625	0.0	-0.0083074286634631	-0.0250708816959394	0.932842760693317	0.0
6.0	0.0	0.0	0.0	1.2649456163403696	1.2649456163403696	0.0	0.0	1.10175049720133	0.0	0.0	8.39	8.186403578043626	0.0413728277700696	-3.786698813798736	1.2649456163403696	7.477735375227517	0.0	1.6772382569174449	0.0	0.0	0.0	0.0	3.786698813798736	0.0	0.0	0.0	0.0	-0.924556697661322	0.0	0.0	0.8299389250676064	4.088075040407028	0.0	0.0	-0.2255977552646356	-3.7388676876137583	-0.1521982215177524	0.0	0.0	0.8834031458784345	0.0	0.0	0.0	0.0	0.0	1.2203084724592417	0.0	0.0	1.7391320072614689	0.924556697661322	0.0105790320608068	0.0	-0.2150187232038289	0.0	0.0	0.0	0.0	-4.088075040407028	1.146387641082458	0.1185579752579115	0.0	0.1185579752579115	0.0	1.338866447717153	0.0	0.0	6.257426902768275	0.392367854972939	0.2255977552646356	3.7388676876137583	1.5385606755149484	0.8834031458784345	0.0	0.9160752679684576	-1.7391320072614689	0.0	-1.6772382569174449	0.1521982215177524	0.0	0.0	0.0	0.0	0.7312049243606797	0.0	-0.0297387886011258	-0.0297387886011258	0.0	0.0	1.2203084724592417	-1.10175049720133	-0.0074015988880651	0.0	-0.0074015988880657	-0.0223371897130601	0.8834031458784345	4.440892098500626e-16
7.0	0.0	0.0	0.0	1.4427408966746889	1.4427408966746889	0.0	0.0	1.1847518716223373	0.0	0.0	8.39	9.182070166349847	0.0654047471295098	-4.315357576263692	1.4427408966746889	8.479486296214533	0.0	2.094518823244394	0.0	0.0	0.0	0.0	4.315357576263692	0.0	0.0	0.0	0.0	-1.183114882122257	0.0	0.0	1.3120192274179614	4.791791916253894	0.0	0.0	-0.3566390051477911	-4.239743148107267	-0.2406044432653276	0.0	0.0	1.118056780152535	0.0	0.0	0.0	0.0	0.0	1.3721757149966607	0.0	0.0	2.192364324950141	1.183114882122257	0.0167239938410156	0.0	-0.3399150113067755	0.0	0.0	0.0	0.0	-4.791791916253894	1.2553170533003657	0.1874238433743233	0.0	0.1874238433743233	0.0	1.559599558370984	0.0	0.0	7.107310581217873	0.0633155368650489	0.3566390051477911	4.239743148107267	1.8752886513409897	1.118056780152535	0.0	1.1697069089607075	-2.192364324950141	0.0	-2.094518823244394	0.2406044432653276	0.0	0.0	0.0	0.0	0.8774523368872083	0.0	-0.0470129322366913	-0.0470129322366913	0.0	0.0	1.3721757149966607	-1.1847518716223373	-0.0117009092614684	0.0	-0.0117009092614696	-0.0353120229752216	1.118056780152535	0.0
8.0	0.0	0.0	0.0	1.482155361560811	1.482155361560811	0.0	0.0	1.2127822679273823	0.0	0.0	8.39	9.402794055697685	0.0707322521114062	-4.432553050692119	1.482155361560811	8.701558988052245	0.0	2.187023473526608	0.0	0.0	0.0	0.0	4.432553050692119	0.0	0.0	0.0	0.0	-1.2404332342365103	0.0	0.0	1.4188889773548197	4.947795067972447	0.0	0.0	-0.3856888243130759	-4.350779494026122	-0.2602027358422299	0.0	0.0	1.1700758630612955	0.0	0.0	0.0	0.0	0.0	1.4058423347578146	0.0	0.0	2.2928389226852715	1.2404332342365103	0.0180862368648865	0.0	-0.3676025874481893	0.0	0.0	0.0	0.0	-4.947795067972447	1.2890952947303786	0.1930600668304323	0.0	0.1930600668304323	0.0	1.598902401588247	0.0	0.0	7.295716653294431	0.0	0.3856888243130759	4.350779494026122	1.940305762854372	1.1700758630612955	0.0	1.225933122553672	-2.2928389226852715	0.0	-2.187023473526608	0.2602027358422299	0.0096302748200134	0.0	0.0	0.0	0.9002428523990529	0.0	-0.0508423428176785	-0.0508423428176785	0.0	0.0	1.4058423347578146	-1.2127822679273823	-0.0126539999027299	0.0	-0.0126539999027308	-0.0381883429149476	1.1700758630612955	0.0
9.0	0.0	0.0	0.0	1.53695301246258	1.53695301246258	0.0	0.0	1.339779870751966	0.0	0.0	8.39	9.709664913112832	0.0781390444912817	-4.595489087336304	1.53695301246258	9.010305075999868	0.0	2.31563203253155	0.0	0.0	0.0	0.0	4.595489087336304	0.0	0.0	0.0	0.0	-1.32012253253084	0.0	0.0	1.567469232495114	5.164685143028596	0.0	0.0	-0.4260765818020611	-4.505152537999933	-0.2874501029700765	0.0	0.0	1.242397624975363	0.0	0.0	0.0	0.0	0.0	1.452648797360936	0.0	0.0	2.432528043090507	1.32012253253084	0.0199801536764207	0.0	-0.4060964281256403	0.0	0.0	0.0	0.0	-5.164685143028596	1.42408408585361	0.11286892660897	0.0	0.11286892660897	0.0	1.565517723969906	0.0	0.0	7.55765627863893	0.0	0.4260765818020611	4.505152537999933	1.9426714500159756	1.242397624975363	0.0	1.304104028410127	-2.432528043090507	0.0	-2.31563203253155	0.2874501029700765	0.1110463192852471	0.0	0.0	0.0	0.8439012027200385	0.0	-0.0561663451803331	-0.0561663451803331	0.0	0.0	1.452648797360936	-1.339779870751966	-0.0139790750594896	0.0	-0.0139790750594905	-0.0421872701208426	1.242397624975363	0.0
