Lifeline,Cluster
0,0
1,1
2,1
3,3
4,0
5,3
6,1
7,1
8,3
9,0
10,0
11,1
12,0
13,3
14,1
15,3
16,2
17,1
18,0
19,2
20,3
21,0
22,0
23,0
24,2
25,1
26,1
27,0
28,1
29,3
30,2
31,1
32,2
33,2
34,1
35,2
36,2
37,3
38,3
39,1
40,2
41,0
42,0
43,1
44,0
45,2
46,2
47,2
48,0
49,2
50,2
51,2
52,1
53,0
54,1
55,2
56,0
57,1
58,0
59,0
60,3
61,1
62,1
63,1
64,2
65,2
66,0
67,2
68,2
69,1
70,3
71,2
72,1
73,0
74,0
75,2
76,1
77,3
78,0
79,0
80,1
81,0
82,3
83,0
84,2
85,0
86,2
87,0
88,0
89,2
90,1
91,2
92,1
93,0
94,2
95,3
96,2
97,1
98,2
99,1
100,0
