lifeline_index,feature_index,neuron_index,discrepancy
0,0,0,0.0537644553962137
0,0,1,0.004089724876269871
0,0,2,0.13616014346811145
0,0,3,0.006860758485006241
0,0,4,0.26166387066106883
0,0,5,0.2837400592211475
0,0,6,0.04112333638728916
0,0,7,0.05440285794321018
0,0,8,0.202822512849859
0,1,0,0.05920142164727291
0,1,1,0.007692731476404288
0,1,2,0.13044269599757655
0,1,3,0.0061644943262027
0,1,4,0.31185496616444364
0,1,5,0.22702674335398132
0,1,6,0.03235642172853032
0,1,7,0.05913528919710989
0,1,8,0.1933235206253768
0,2,0,0.05404852004407931
0,2,1,0.014201252789188195
0,2,2,0.11929783369923513
0,2,3,0.03659220075619439
0,2,4,0.352696634399351
0,2,5,0.22948624816725285
0,2,6,0.03997419669111107
0,2,7,0.06651520762016762
0,2,8,0.2076400952315989
0,3,0,0.05233694976822947
0,3,1,0.006261992330579605
0,3,2,0.13402174132130676
0,3,3,0.006535693746907738
0,3,4,0.38562308162762027
0,3,5,0.20712300804953165
0,3,6,0.03971282640676877
0,3,7,0.06691599605275939
0,3,8,0.1842400072024923
0,4,0,0.06101764460564982
0,4,1,0.009604641588922975
0,4,2,0.13845603502216638
0,4,3,0.015287048700902668
0,4,4,0.2262564933783995
0,4,5,0.2754411666835069
0,4,6,0.05592342119468236
0,4,7,0.06666858072966707
0,4,8,0.2099119073399901
0,5,0,0.0545770815032502
0,5,1,0.006418377982894864
0,5,2,0.137977783302879
0,5,3,0.005585499847019598
0,5,4,0.23100649326146944
0,5,5,0.2391379347607256
0,5,6,0.03677068916104422
0,5,7,0.06853573842813007
0,5,8,0.20797915925418797
0,6,0,0.060575871298593924
0,6,1,0.007142434973217713
0,6,2,0.1543494840024017
0,6,3,0.011741225421205335
0,6,4,0.28057590855508185
0,6,5,0.2694635193307714
0,6,6,0.04792927495372598
0,6,7,0.06670962727258575
0,6,8,0.16495267825873133
0,7,0,0.05187581260951037
0,7,1,0.007990085871807487
0,7,2,0.1344240592825544
0,7,3,0.007711801341871369
0,7,4,0.3369835378286294
0,7,5,0.20268943818499255
0,7,6,0.06234304839762979
0,7,7,0.03765123490237735
0,7,8,0.17977455242146761
0,8,0,0.061930584312203635
0,8,1,0.007962305954638291
0,8,2,0.1363245722838401
0,8,3,0.011802676310564576
0,8,4,0.303159063989869
0,8,5,0.22649355468509652
0,8,6,0.03410539693220631
0,8,7,0.05181107017217052
0,8,8,0.21880625181575092
0,9,0,0.056482756820925455
0,9,1,0.01044111180413939
0,9,2,0.16367951964961974
0,9,3,0.010639971719075544
0,9,4,0.2574278926412789
0,9,5,0.2161680568162967
0,9,6,0.03996692518255805
0,9,7,0.046359520043724574
0,9,8,0.18251747354206657
0,10,0,0.08443808106606346
0,10,1,0.006529696432137567
0,10,2,0.11443716530677948
0,10,3,0.005698567516275236
0,10,4,0.26613361862063517
0,10,5,0.2887375912760013
0,10,6,0.04525175987234819
0,10,7,0.14268880826611297
0,10,8,0.11567821841859882
0,11,0,0.05651931312232085
0,11,1,0.012782545986314803
0,11,2,0.16693168350485366
0,11,3,0.013085334812904546
0,11,4,0.24080020605100885
0,11,5,0.23220193058385583
0,11,6,0.03569089689818984
0,11,7,0.04192768946113039
0,11,8,0.18270549790614982
0,12,0,0.07231404743612588
0,12,1,0.0026399133173601497
0,12,2,0.13322591378484974
0,12,3,0.003822976489105788
0,12,4,0.285857422173246
0,12,5,0.24160272058511736
0,12,6,0.04414119825268983
0,12,7,0.0593494050838737
0,12,8,0.1590290135454927
0,13,0,0.04913832094994641
0,13,1,0.008255163582648516
0,13,2,0.1578471973601616
0,13,3,0.010664735527731076
0,13,4,0.2786115997057116
0,13,5,0.2678126422568458
0,13,6,0.04178354026229607
0,13,7,0.04400086502969902
0,13,8,0.2156246743644033
0,14,0,0.061757412287141114
0,14,1,0.007930075761215499
0,14,2,0.12688879935907538
0,14,3,0.005481682031850896
0,14,4,0.29316129285662273
0,14,5,0.28933533554111324
0,14,6,0.04592567514593026
0,14,7,0.05299526083086833
0,14,8,0.20380041071256166
0,15,0,0.10923364556854821
0,15,1,0.021037508879763734
0,15,2,0.24720354016846344
0,15,3,0.02316249902052545
0,15,4,0.2932392029515282
0,15,5,0.45463021734123565
0,15,6,0.0308520697610234
0,15,7,0.13357232208962772
0,15,8,0.08407437099494428
0,16,0,0.052216792645840164
0,16,1,0.015095124548203217
0,16,2,0.20360369169863282
0,16,3,0.019741868630068188
0,16,4,0.23157866682025582
0,16,5,0.25587268692936405
0,16,6,0.03439292720404693
0,16,7,0.03596537617543643
0,16,8,0.18815127237086743
0,17,0,0.05563958541838204
0,17,1,0.0045262847991588955
0,17,2,0.13558656652405848
0,17,3,0.014284803127023137
0,17,4,0.1903254412197008
0,17,5,0.24736046539317671
0,17,6,0.038631302267139206
0,17,7,0.06451682075387993
0,17,8,0.20101256291580122
0,18,0,0.0665014524191921
0,18,1,0.005223809048490202
0,18,2,0.13848215690933155
0,18,3,0.01165383741142652
0,18,4,0.31438407779380756
0,18,5,0.26770980039657005
0,18,6,0.026580386109356195
0,18,7,0.05581683411405483
0,18,8,0.22982251720524305
0,19,0,0.08481634697189905
0,19,1,0.011173847504764389
0,19,2,0.18485640386064114
0,19,3,0.007247804247416178
0,19,4,0.299829995482532
0,19,5,0.3774675780633956
0,19,6,0.03911312889443604
0,19,7,0.1086973802533572
0,19,8,0.10480493666334323
0,20,0,0.0548286575192921
0,20,1,0.008288678940139326
0,20,2,0.1551403693878895
0,20,3,0.016827337861131157
0,20,4,0.3020642641851344
0,20,5,0.22444430243482522
0,20,6,0.05917397137274921
0,20,7,0.033215387349779274
0,20,8,0.22960439334863691
0,21,0,0.052449341415400655
0,21,1,0.007602821466624396
0,21,2,0.14506865471490774
0,21,3,0.015432910860034113
0,21,4,0.30787310975504883
0,21,5,0.24159120726996114
0,21,6,0.04994049733438388
0,21,7,0.06279323885379544
0,21,8,0.21104078668665294
0,22,0,0.06098347397719485
0,22,1,0.0053499062256147445
0,22,2,0.15249068424243672
0,22,3,0.008674189624107445
0,22,4,0.2740416432313069
0,22,5,0.21076270476853454
0,22,6,0.04305442417109725
0,22,7,0.08642763066070308
0,22,8,0.12000050234458066
0,23,0,0.046303285122946354
0,23,1,0.009771304962093089
0,23,2,0.11875215990346914
0,23,3,0.022655160912300756
0,23,4,0.29097823742023954
0,23,5,0.2914850740261315
0,23,6,0.05780660643716191
0,23,7,0.07620302098781842
0,23,8,0.20528316790171078
0,24,0,0.16703407519203467
0,24,1,0.11621032021429879
0,24,2,0.29125803292755836
0,24,3,0.0920589353070276
0,24,4,0.341578702006681
0,24,5,0.35841487445692
0,24,6,0.14315956742755426
0,24,7,0.15633626211588578
0,24,8,0.24851436170025604
0,25,0,0.1633349299087023
0,25,1,0.10916002703932537
0,25,2,0.2506968751823123
0,25,3,0.08759131603574252
0,25,4,0.3156711051873084
0,25,5,0.3695612192971191
0,25,6,0.15169492974881318
0,25,7,0.1619157216834112
0,25,8,0.25353341929156825
0,26,0,0.08143615180180067
0,26,1,0.019260751762779166
0,26,2,0.14948827292156316
0,26,3,0.013240366315454711
0,26,4,0.2511039380711843
0,26,5,0.2410508603197184
0,26,6,0.018496745944014795
0,26,7,0.07243554270531781
0,26,8,0.22728894051169257
0,27,0,0.05303129438395855
0,27,1,0.010187227920121757
0,27,2,0.1337737065894012
0,27,3,0.005933801696103651
0,27,4,0.27191767011968965
0,27,5,0.2796704300072169
0,27,6,0.03343352202843456
0,27,7,0.055337022649534565
