"","cluster"
"28","1"
"80","2"
"22","2"
"9","3"
"5","4"
"38","5"
"16","1"
"4","4"
"86","2"
"90","6"
"70","6"
"79","4"
"78","4"
"14","7"
"56","4"
"62","6"
"94","2"
"85","5"
"21","6"
"40","4"
"87","7"
"67","2"
"97","7"
"66","4"
"47","7"
"82","8"
"48","7"
"3","1"
"41","6"
"72","1"
"32","6"
"42","3"
"43","5"
"2","4"
"54","8"
"49","5"
"81","6"
"51","1"
"6","5"
"89","7"
"29","4"
"71","1"
"93","1"
"57","8"
"8","1"
"26","3"
"17","5"
"58","4"
"91","2"
"60","5"
"77","1"
"99","4"
"35","1"
"73","7"
"95","9"
"74","4"
"50","7"
"10","6"
"45","8"
"25","4"
"46","9"
"19","2"
"65","6"
"23","8"
"63","7"
"20","4"
"7","7"
"52","6"
"37","2"
"31","5"
"92","5"
"27","1"
"12","7"
"100","1"
"64","1"
"1","5"
"84","9"
"96","1"
"76","9"
"98","1"
"36","6"
"55","3"
"33","7"
"24","2"
"13","5"
"39","4"
"68","1"
"88","8"
"18","4"
"44","1"
"15","3"
"34","7"
"53","3"
"75","8"
"11","2"
"69","5"
"61","1"
"59","1"
"83","1"
"101","2"
"30","4"
