Lifeline,Cluster,Feature
0,3,0
1,1,0
2,2,0
3,2,0
4,3,0
5,2,0
6,1,0
7,2,0
8,1,0
9,3,0
10,0,0
11,1,0
12,3,0
13,1,0
14,2,0
15,2,0
16,3,0
17,1,0
18,0,0
19,3,0
20,1,0
21,0,0
22,0,0
23,0,0
24,1,0
25,2,0
26,2,0
27,3,0
28,1,0
29,2,0
30,3,0
31,1,0
32,2,0
33,3,0
34,2,0
35,3,0
36,3,0
37,1,0
38,2,0
39,1,0
40,3,0
41,0,0
42,3,0
43,1,0
44,0,0
45,3,0
46,3,0
47,1,0
48,3,0
49,2,0
50,1,0
51,3,0
52,1,0
53,0,0
54,1,0
55,3,0
56,0,0
57,2,0
58,3,0
59,3,0
60,1,0
61,1,0
62,1,0
63,1,0
64,3,0
65,3,0
66,0,0
67,3,0
68,3,0
69,1,0
70,1,0
71,2,0
72,1,0
73,0,0
74,3,0
75,3,0
76,2,0
77,2,0
78,0,0
79,0,0
80,1,0
81,0,0
82,1,0
83,0,0
84,3,0
85,0,0
86,3,0
87,3,0
88,3,0
89,3,0
90,1,0
91,3,0
92,1,0
93,0,0
94,3,0
95,1,0
96,3,0
97,1,0
98,3,0
99,1,0
100,0,0
0,0,1
1,2,1
2,2,1
3,1,1
4,0,1
5,2,1
6,3,1
7,2,1
8,2,1
9,0,1
10,0,1
11,2,1
12,3,1
13,2,1
14,3,1
15,2,1
16,3,1
17,2,1
18,0,1
19,3,1
20,2,1
21,0,1
22,3,1
23,0,1
24,3,1
25,3,1
26,2,1
27,3,1
28,2,1
29,2,1
30,3,1
31,3,1
32,1,1
33,3,1
34,1,1
35,3,1
36,3,1
37,1,1
38,2,1
39,2,1
40,3,1
41,0,1
42,3,1
43,2,1
44,0,1
45,3,1
46,3,1
47,3,1
48,0,1
49,1,1
50,2,1
51,3,1
52,2,1
53,0,1
54,2,1
55,3,1
56,0,1
57,2,1
58,3,1
59,3,1
60,2,1
61,2,1
62,2,1
63,2,1
64,3,1
65,3,1
66,0,1
67,1,1
68,3,1
69,2,1
70,2,1
71,1,1
72,2,1
73,0,1
74,3,1
75,3,1
76,2,1
77,1,1
78,0,1
79,0,1
80,2,1
81,0,1
82,2,1
83,0,1
84,3,1
85,0,1
86,1,1
87,3,1
88,3,1
89,3,1
90,2,1
91,3,1
92,2,1
93,0,1
94,3,1
95,2,1
96,1,1
97,2,1
98,3,1
99,2,1
100,0,1
0,2,2
1,3,2
2,3,2
3,0,2
4,2,2
5,1,2
6,1,2
7,3,2
8,3,2
9,2,2
10,2,2
11,1,2
12,2,2
13,1,2
14,3,2
15,1,2
16,0,2
17,1,2
18,2,2
19,0,2
20,0,2
21,2,2
22,2,2
23,2,2
24,3,2
25,3,2
26,3,2
27,0,2
28,1,2
29,1,2
30,0,2
31,0,2
32,0,2
33,0,2
34,3,2
35,0,2
36,0,2
37,0,2
38,3,2
39,1,2
40,0,2
41,0,2
42,2,2
43,3,2
44,2,2
45,0,2
46,0,2
47,3,2
48,2,2
49,0,2
50,3,2
51,0,2
52,3,2
53,2,2
54,3,2
55,0,2
56,2,2
57,1,2
58,3,2
59,0,2
60,1,2
61,3,2
62,3,2
63,3,2
64,2,2
65,3,2
66,2,2
67,0,2
68,0,2
69,3,2
70,3,2
71,0,2
72,3,2
73,2,2
74,0,2
75,3,2
76,3,2
77,0,2
78,2,2
79,2,2
80,3,2
81,2,2
82,1,2
83,2,2
84,0,2
85,2,2
86,0,2
87,2,2
88,0,2
89,0,2
90,3,2
91,0,2
92,3,2
93,2,2
94,3,2
95,3,2
96,0,2
97,0,2
98,0,2
99,1,2
100,2,2
0,2,3
1,1,3
2,1,3
3,3,3
4,2,3
5,3,3
6,1,3
7,3,3
8,1,3
9,2,3
10,0,3
11,1,3
12,0,3
13,3,3
14,3,3
15,3,3
16,1,3
17,3,3
18,2,3
19,3,3
20,1,3
21,2,3
22,0,3
23,2,3
24,3,3
25,3,3
26,3,3
27,0,3
28,3,3
29,1,3
30,1,3
31,3,3
32,3,3
33,0,3
34,0,3
35,1,3
36,0,3
37,0,3
38,3,3
39,1,3
40,0,3
41,0,3
42,0,3
43,3,3
44,2,3
45,0,3
46,3,3
47,1,3
48,0,3
49,3,3
50,1,3
51,1,3
52,3,3
53,0,3
54,1,3
55,1,3
56,0,3
57,3,3
58,1,3
59,0,3
60,3,3
61,3,3
62,3,3
63,3,3
64,3,3
65,1,3
66,0,3
67,0,3
68,1,3
69,3,3
70,3,3
71,3,3
72,3,3
73,0,3
74,0,3
75,3,3
76,3,3
77,1,3
78,2,3
79,2,3
80,3,3
81,2,3
82,3,3
83,2,3
84,0,3
85,2,3
86,1,3
87,1,3
88,1,3
89,0,3
90,1,3
91,0,3
92,3,3
93,2,3
94,3,3
95,3,3
96,1,3
97,3,3
98,0,3
99,1,3
100,0,3
0,0,4
1,3,4
2,2,4
3,3,4
4,1,4
5,3,4
6,2,4
7,2,4
8,2,4
9,1,4
10,1,4
11,2,4
12,0,4
13,2,4
14,2,4
15,0,4
16,2,4
17,2,4
18,1,4
19,3,4
20,1,4
21,1,4
22,1,4
23,1,4
24,1,4
25,0,4
26,2,4
27,1,4
28,2,4
29,3,4
30,0,4
31,0,4
32,0,4
33,1,4
34,3,4
35,1,4
36,1,4
37,1,4
38,3,4
39,3,4
40,0,4
41,0,4
42,0,4
43,2,4
44,3,4
45,0,4
46,3,4
47,3,4
48,1,4
49,0,4
50,0,4
51,0,4
52,3,4
53,3,4
54,2,4
55,0,4
56,1,4
57,3,4
58,3,4
59,1,4
60,3,4
61,3,4
62,1,4
63,3,4
64,3,4
65,3,4
66,1,4
67,3,4
68,0,4
69,2,4
70,0,4
71,3,4
72,3,4
73,0,4
74,3,4
75,3,4
76,2,4
77,2,4
78,2,4
79,1,4
80,3,4
81,3,4
82,0,4
83,3,4
84,0,4
85,1,4
86,0,4
87,1,4
88,1,4
89,1,4
90,1,4
91,1,4
92,2,4
93,1,4
94,3,4
95,2,4
96,3,4
97,2,4
98,1,4
99,3,4
100,1,4
0,2,5
1,1,5
2,0,5
3,2,5
4,0,5
5,2,5
6,1,5
7,2,5
8,0,5
9,2,5
10,0,5
11,0,5
12,2,5
13,1,5
14,1,5
15,1,5
16,2,5
17,1,5
18,0,5
19,2,5
20,2,5
21,1,5
22,3,5
23,1,5
24,1,5
25,1,5
26,1,5
27,2,5
28,1,5
29,0,5
30,2,5
31,1,5
32,2,5
33,2,5
34,0,5
35,2,5
36,3,5
37,2,5
38,1,5
39,1,5
40,2,5
41,1,5
42,3,5
43,1,5
44,2,5
45,0,5
46,2,5
47,2,5
48,3,5
49,2,5
50,2,5
51,2,5
52,0,5
53,1,5
54,0,5
55,2,5
56,0,5
57,1,5
58,1,5
59,3,5
60,1,5
61,1,5
62,1,5
63,1,5
64,3,5
65,2,5
66,1,5
67,2,5
68,2,5
69,1,5
70,2,5
71,2,5
72,1,5
73,3,5
74,2,5
75,1,5
76,1,5
77,2,5
78,3,5
79,2,5
80,1,5
81,3,5
82,1,5
83,2,5
84,3,5
85,1,5
86,2,5
87,2,5
88,2,5
89,2,5
90,0,5
91,2,5
92,1,5
93,2,5
94,1,5
95,0,5
96,2,5
97,2,5
98,3,5
99,1,5
100,1,5
0,0,6
1,2,6
2,3,6
3,2,6
4,0,6
5,3,6
6,3,6
7,3,6
8,2,6
9,1,6
10,0,6
11,3,6
12,0,6
13,3,6
14,3,6
15,3,6
16,2,6
17,3,6
18,0,6
19,3,6
20,1,6
21,0,6
22,0,6
23,0,6
24,2,6
25,3,6
26,3,6
27,2,6
28,3,6
29,2,6
30,2,6
31,0,6
32,2,6
33,2,6
34,3,6
35,2,6
36,1,6
37,2,6
38,3,6
39,3,6
40,2,6
41,1,6
42,0,6
43,2,6
44,0,6
45,2,6
46,2,6
47,2,6
48,1,6
49,3,6
50,2,6
51,0,6
52,2,6
53,0,6
54,3,6
55,2,6
56,0,6
57,3,6
58,2,6
59,1,6
60,2,6
61,2,6
62,2,6
63,2,6
64,1,6
65,2,6
66,0,6
67,3,6
68,0,6
69,3,6
70,2,6
71,2,6
72,2,6
73,0,6
74,2,6
75,3,6
76,3,6
77,2,6
78,0,6
79,0,6
80,1,6
81,0,6
82,3,6
83,1,6
84,0,6
85,1,6
86,2,6
87,0,6
88,2,6
89,1,6
90,1,6
91,1,6
92,3,6
93,0,6
94,2,6
95,3,6
96,2,6
97,3,6
98,0,6
99,3,6
100,0,6
0,0,7
1,1,7
2,2,7
3,3,7
4,2,7
5,3,7
6,2,7
7,1,7
8,2,7
9,2,7
10,3,7
11,2,7
12,0,7
13,3,7
14,2,7
15,1,7
16,0,7
17,1,7
18,2,7
19,0,7
20,3,7
21,2,7
22,3,7
23,2,7
24,2,7
25,2,7
26,2,7
27,0,7
28,1,7
29,0,7
30,0,7
31,1,7
32,3,7
33,0,7
34,1,7
35,3,7
36,0,7
37,3,7
38,3,7
39,2,7
40,0,7
41,3,7
42,0,7
43,1,7
44,2,7
45,3,7
46,0,7
47,3,7
48,3,7
49,3,7
50,3,7
51,3,7
52,2,7
53,0,7
54,2,7
55,0,7
56,0,7
57,2,7
58,2,7
59,0,7
60,1,7
61,1,7
62,1,7
63,1,7
64,3,7
65,3,7
66,3,7
67,3,7
68,0,7
69,1,7
70,1,7
71,3,7
72,1,7
73,0,7
74,3,7
75,2,7
76,1,7
77,3,7
78,2,7
79,2,7
80,2,7
81,2,7
82,1,7
83,2,7
84,3,7
85,2,7
86,0,7
87,2,7
88,0,7
89,0,7
90,2,7
91,3,7
92,1,7
93,2,7
94,2,7
95,1,7
96,3,7
97,1,7
98,0,7
99,2,7
100,3,7
0,1,8
1,1,8
2,1,8
3,1,8
4,1,8
5,1,8
6,0,8
7,1,8
8,2,8
9,1,8
10,3,8
11,0,8
12,2,8
13,2,8
14,0,8
15,2,8
16,1,8
17,2,8
18,3,8
19,1,8
20,2,8
21,3,8
22,3,8
23,3,8
24,1,8
25,1,8
26,1,8
27,1,8
28,1,8
29,1,8
30,1,8
31,1,8
32,2,8
33,3,8
34,2,8
35,1,8
36,1,8
37,1,8
38,1,8
39,0,8
40,2,8
41,2,8
42,2,8
43,1,8
44,3,8
45,2,8
46,1,8
47,1,8
48,3,8
49,2,8
50,1,8
51,2,8
52,1,8
53,3,8
54,1,8
55,1,8
56,3,8
57,1,8
58,1,8
59,1,8
60,1,8
61,2,8
62,1,8
63,1,8
64,1,8
65,1,8
66,3,8
67,1,8
68,2,8
69,0,8
70,1,8
71,2,8
72,1,8
73,1,8
74,3,8
75,2,8
76,1,8
77,2,8
78,3,8
79,3,8
80,1,8
81,3,8
82,1,8
83,3,8
84,1,8
85,3,8
86,2,8
87,1,8
88,2,8
89,1,8
90,1,8
91,3,8
92,1,8
93,3,8
94,2,8
95,1,8
96,2,8
97,1,8
98,3,8
99,1,8
100,3,8
