"","cluster"
"28","1"
"80","1"
"22","1"
"9","2"
"5","1"
"38","2"
"16","2"
"4","2"
"86","1"
"90","1"
"70","2"
"79","1"
"78","2"
"14","2"
"56","2"
"62","2"
"94","1"
"85","1"
"21","2"
"40","2"
"87","2"
"67","1"
"97","2"
"66","1"
"47","1"
"82","1"
"48","2"
"3","2"
"41","1"
"72","2"
"32","2"
"42","1"
"43","1"
"2","2"
"54","1"
"49","1"
"81","2"
"51","1"
"6","2"
"89","1"
"29","2"
"71","2"
"93","2"
"57","1"
"8","2"
"26","2"
"17","2"
"58","2"
"91","1"
"60","1"
"77","2"
"99","1"
"35","2"
"73","2"
"95","2"
"74","1"
"50","2"
"10","1"
"45","1"
"25","2"
"46","1"
"19","1"
"65","1"
"23","1"
"63","2"
"20","2"
"7","2"
"52","1"
"37","1"
"31","1"
"92","1"
"27","2"
"12","2"
"100","2"
"64","2"
"1","1"
"84","1"
"96","2"
"76","2"
"98","2"
"36","1"
"55","2"
"33","2"
"24","1"
"13","1"
"39","2"
"68","2"
"88","1"
"18","2"
"44","2"
"15","2"
"34","1"
"53","2"
"75","1"
"11","1"
"69","1"
"61","2"
"59","2"
"83","2"
"101","1"
"30","2"
